Date,NiftyBank,Nifty
01-Jan-2020,32102.9,12182.5
02-Jan-2020,32443.85,12282.2
03-Jan-2020,32069.25,12226.65
06-Jan-2020,31237.15,11993.05
07-Jan-2020,31399.4,12052.95
08-Jan-2020,31373.65,12025.35
09-Jan-2020,32092.4,12215.9
10-Jan-2020,32097.4,12256.8
13-Jan-2020,32177.65,12329.55
14-Jan-2020,32071.65,12362.3
15-Jan-2020,31824.9,12343.3
16-Jan-2020,31853.9,12355.5
17-Jan-2020,31590.65,12352.35
20-Jan-2020,31080.65,12224.55
21-Jan-2020,30947.55,12169.85
22-Jan-2020,30701.45,12106.9
23-Jan-2020,31004.05,12180.35
24-Jan-2020,31241.75,12248.25
27-Jan-2020,30837.4,12119
28-Jan-2020,30761.4,12055.8
29-Jan-2020,30877,12129.5
30-Jan-2020,30647.4,12035.8
31-Jan-2020,30833.6,11962.1
01-Feb-2020,29820.9,11661.85
03-Feb-2020,30023.25,11707.9
04-Feb-2020,30686.7,11979.65
05-Feb-2020,31001.95,12089.15
06-Feb-2020,31304.05,12137.95
07-Feb-2020,31201.95,12098.35
10-Feb-2020,31058.15,12031.5
11-Feb-2020,31300.6,12107.9
12-Feb-2020,31492.9,12201.2
13-Feb-2020,31230.25,12174.65
14-Feb-2020,30834.8,12113.45
17-Feb-2020,30680.7,12045.8
18-Feb-2020,30562.5,11992.5
19-Feb-2020,30838.2,12125.9
20-Feb-2020,30942.85,12080.85
24-Feb-2020,30455.1,11829.4
25-Feb-2020,30432.7,11797.9
26-Feb-2020,30306.85,11678.5
27-Feb-2020,30187,11633.3
28-Feb-2020,29147.15,11201.75
02-Mar-2020,28868.4,11132.75
03-Mar-2020,29177.05,11303.3
04-Mar-2020,28653.7,11251
05-Mar-2020,28815.35,11269
06-Mar-2020,27801.45,10989.45
09-Mar-2020,26462.6,10451.45
11-Mar-2020,26487.8,10458.4
12-Mar-2020,23971.15,9590.15
13-Mar-2020,25166.45,9955.2
16-Mar-2020,23101.15,9197.4
17-Mar-2020,22155.15,8967.05
18-Mar-2020,20580.2,8468.8
19-Mar-2020,20083.5,8263.45
20-Mar-2020,20317.6,8745.45
23-Mar-2020,16917.65,7610.25
24-Mar-2020,17107.3,7801.05
25-Mar-2020,18481.05,8317.85
26-Mar-2020,19613.9,8641.45
27-Mar-2020,19969,8660.25
30-Mar-2020,18782.4,8281.1
31-Mar-2020,19144,8597.75
01-Apr-2020,18208.35,8253.8
03-Apr-2020,17249.3,8083.8
07-Apr-2020,19062.5,8792.2
08-Apr-2020,18946.45,8748.75
09-Apr-2020,19913.6,9111.9
13-Apr-2020,19488,8993.85
15-Apr-2020,19057.05,8925.3
16-Apr-2020,19400,8992.8
17-Apr-2020,20681.45,9266.75
20-Apr-2020,20522.65,9261.85
21-Apr-2020,19409.35,8981.45
22-Apr-2020,19701.85,9187.3
23-Apr-2020,20267.95,9313.9
24-Apr-2020,19586.65,9154.4
27-Apr-2020,20081.15,9282.3
28-Apr-2020,20671.1,9380.9
29-Apr-2020,21090.2,9553.35
30-Apr-2020,21534.5,9859.9
04-May-2020,19743.75,9293.5
05-May-2020,19271.75,9205.6
06-May-2020,19694.55,9270.9
07-May-2020,19491.8,9199.05
08-May-2020,19352.9,9251.5
11-May-2020,18950.5,9239.2
12-May-2020,18862.85,9196.55
13-May-2020,19634.95,9383.55
14-May-2020,19068.5,9142.75
15-May-2020,18833.95,9136.85
18-May-2020,17573.2,8823.25
19-May-2020,17486.25,8879.1
20-May-2020,17840.2,9066.55
21-May-2020,17735.1,9106.25
22-May-2020,17278.9,9039.25
26-May-2020,17440.35,9029.05
27-May-2020,18710.55,9314.95
28-May-2020,19169.8,9490.1
29-May-2020,19297.25,9580.3
01-Jun-2020,19959.9,9826.15
02-Jun-2020,20530.2,9979.1
03-Jun-2020,20940.7,10061.55
04-Jun-2020,20390.45,10029.1
05-Jun-2020,21034.5,10142.15
08-Jun-2020,21187.35,10167.45
09-Jun-2020,20724.9,10046.65
10-Jun-2020,21100.1,10116.15
11-Jun-2020,20525.15,9902
12-Jun-2020,20654.55,9972.9
15-Jun-2020,19912.9,9813.7
16-Jun-2020,20296.7,9914
17-Jun-2020,20201.75,9881.15
18-Jun-2020,20956.3,10091.65
19-Jun-2020,21338.1,10244.4
22-Jun-2020,21708.35,10311.2
23-Jun-2020,22264.9,10471
24-Jun-2020,21426.8,10305.3
25-Jun-2020,21506.15,10288.9
26-Jun-2020,21592.05,10383
29-Jun-2020,21359,10312.4
30-Jun-2020,21370.15,10302.1
01-Jul-2020,21977.6,10430.05
02-Jul-2020,21953.2,10551.7
03-Jul-2020,21852.4,10607.35
06-Jul-2020,22198.95,10763.65
07-Jul-2020,22628,10799.65
08-Jul-2020,22584.65,10705.75
09-Jul-2020,22907.2,10813.45
10-Jul-2020,22398.45,10768.05
13-Jul-2020,22089.25,10802.7
14-Jul-2020,21392.2,10607.35
15-Jul-2020,21340.75,10618.2
16-Jul-2020,21597.15,10739.95
17-Jul-2020,21966.8,10901.7
20-Jul-2020,22321.85,11022.2
21-Jul-2020,22782,11162.25
22-Jul-2020,22882.6,11132.6
23-Jul-2020,23083.9,11215.45
24-Jul-2020,22662.05,11194.15
27-Jul-2020,21848.75,11131.8
28-Jul-2020,22105.2,11300.55
29-Jul-2020,22076.6,11202.85
30-Jul-2020,21646.85,11102.15
31-Jul-2020,21640.05,11073.45
03-Aug-2020,21072.1,10891.6
04-Aug-2020,21490.5,11095.25
05-Aug-2020,21509.95,11101.65
06-Aug-2020,21642.6,11200.15
07-Aug-2020,21754,11214.05
10-Aug-2020,21900.25,11270.15
11-Aug-2020,22227.2,11322.5
12-Aug-2020,22264,11308.4
13-Aug-2020,22196.35,11300.45
14-Aug-2020,21679.4,11178.4
17-Aug-2020,21700.85,11247.1
18-Aug-2020,22170.6,11385.35
19-Aug-2020,22285.9,11408.4
20-Aug-2020,21999.45,11312.2
21-Aug-2020,22299.6,11371.6
24-Aug-2020,22833,11466.45
25-Aug-2020,23092.15,11472.25
26-Aug-2020,23414.2,11549.6
27-Aug-2020,23600.35,11559.25
28-Aug-2020,24523.8,11647.6
31-Aug-2020,23754.35,11387.5
01-Sep-2020,23812,11470.25
02-Sep-2020,23874.55,11535
03-Sep-2020,23530.85,11527.45
04-Sep-2020,23011.5,11333.85
07-Sep-2020,22945.05,11355.05
08-Sep-2020,22744.4,11317.35
09-Sep-2020,22267,11278
10-Sep-2020,22466.2,11449.25
11-Sep-2020,22479.95,11464.45
14-Sep-2020,22101.25,11440.05
15-Sep-2020,22465.65,11521.8
16-Sep-2020,22573.55,11604.55
17-Sep-2020,22320.35,11516.1
18-Sep-2020,22031.05,11504.95
21-Sep-2020,21366.8,11250.55
22-Sep-2020,21139.1,11153.65
23-Sep-2020,21178.5,11131.85
24-Sep-2020,20456.85,10805.55
25-Sep-2020,20982.35,11050.25
28-Sep-2020,21665.5,11227.55
29-Sep-2020,21411.3,11222.4
30-Sep-2020,21451.8,11247.55
01-Oct-2020,22246,11416.95
